"pmcid","pmid","date_published","title"
"PMC5682791","29095272","20171103","Treatment of triple-negative breast cancer with Chinese herbal medicine: A"
"PMC5682787","29095268","20171103","New approach to evaluate late arm impairment and effects of dragon boat activity "
"PMC5667880","29095832","20171102","Multi-center study on patient selection for and the oncologic safety of"
"PMC5667799","29095835","20171102","Comparison of patients with small (≤2 cm) breast cancer according to adherence to"
"PMC5706630","29091951","20171101","Downregulation of TAP1 and TAP2 in early stage breast cancer."
"PMC5738007","28984771","20171027","Application of neoadjuvant chemotherapy in occult breast cancer: Five case"
"PMC5671859","29069026","20171027","Comparison of breast-conserving surgery with mastectomy in locally advanced"
"PMC5727320","29072371","20171026","HER2 exon 27 mutations predict worse survival of breast cancer patients,"
"PMC5657998","29073169","20171026","Expression and function of the miR-143/145 cluster in vitro and in vivo in human "
"PMC5656317","29069101","20171025","Breast density does not impact the ability of Videssa® Breast to detect breast"
"PMC5662371","29049205","20171020","Using a novel T-lymph node ratio model to evaluate the prognosis of nonmetastatic"
"PMC5662364","29049198","20171020","Expression analysis of E-cad and vascular endothelial growth factor in"
"PMC5648156","29049316","20171019","Genomic comparison of early-passage conditionally reprogrammed breast cancer"
"PMC5646774","29045460","20171018","Conjugated nanoliposome with the HER2/neu-derived peptide GP2 as an effective"
"PMC5646764","29045452","20171018","Prospective, multicenter French study evaluating the clinical impact of the"
"PMC5790983","29056033","20171016","A comparison of breast cancer survival among young, middle-aged, and elderly"
"PMC5662317","29019894","20171013","Randomized controlled trial of late-course concurrent versus sequential"
"PMC5636879","29021522","20171011","The cholesterol metabolite 27 hydroxycholesterol facilitates breast cancer"
"PMC5762610","28940260","20171010","Authentication of M14 melanoma cell line proves misidentification of MDA‐MB‐435"
"PMC5673950","29024537","20171010","Association between weight gain during adjuvant chemotherapy for early‐stage"
"PMC5633195","29016671","20171009","Prognostic and clinicopathological value of Twist expression in breast cancer: A "
"PMC5630120","28985233","20171006","Frequency of breast cancer with hereditary risk features in Spain: Analysis from "
"PMC5673948","28980454","20171004","Incidence, risk factors, and outcomes of central venous catheter‐related"
"PMC5673913","28980424","20171004","Development and validation of a nomogram predicting the overall survival of stage"
"PMC5626550","28765364","","FiloQuant reveals increased filopodia density during breast cancer progression."
"PMC5697496","29128086","","Delayed presentation and diagnosis of breast cancer in African women: a"
"PMC5724944","29255561","20170929","Awareness of breast cancer and breast self-examination among female undergraduate"
"PMC5626274","28953631","20170929","Thoracic paravertebral regional anesthesia for pain relief in patients with"
"PMC5619732","28957377","20170928","Androgen receptor expression on circulating tumor cells in metastatic breast"
"PMC5614529","28949967","20170926","Preoperative indication for systemic therapy extended to patients with"
"PMC5612990","28947734","20170925","Targeted gadofullerene for sensitive magnetic resonance imaging and"
"PMC5617696","28930829","20170922","The curative effects of radiotherapy-based therapies for human epidermal growth"
"PMC5609040","28934950","20170921","Effectiveness of acupuncture for breast cancer related lymphedema: protocol for a"
"PMC5608198","28934238","20170921","A tool to automatically analyze electromagnetic tracking data from high dose rate"
"PMC5599036","28910357","20170914","The quality of invasive breast cancer care for low reimbursement rate patients: A"
"PMC5602452","28979122","20170913","Green synthesis of selenium nanoparticles using Acinetobacter sp. SW30:"
"PMC5672806","28898379","","Effect of Axillary Dissection vs No Axillary Dissection on 10-Year Overall"
"PMC5595337","28898275","20170912","The early onset of peripheral neuropathy might be a robust predictor for time to "
"PMC5595304","28898277","20170912","Iron imaging reveals tumor and metastasis macrophage hemosiderin deposits in"
"PMC5595280","28898246","20170912","Cytotoxicity and anti-tumor effects of new ruthenium complexes on triple negative"
"PMC5711975","28894989","20170911","Collective invasion in ductal and lobular breast cancer associates with distant"
"PMC5711560","28892092","20170911","High Concordance of a Closed-System, RT-qPCR Breast Cancer Assay for HER2 mRNA,"
"PMC5590926","28886126","20170908","Validation of the 18-gene classifier as a prognostic biomarker of distant"
"PMC5590847","28886093","20170908","Comparison of risk classification between EndoPredict and MammaPrint in"
"PMC5590816","28886076","20170908","Lower frequency of TLR9 variant associated with protection from breast cancer"
"PMC5589175","28880889","20170907","Loss of Kaiso expression in breast cancer cells prevents intra-vascular invasion "
"PMC5587293","28877230","20170906","Decision impact and feasibility of different ASCO-recommended biomarkers in early"
"PMC5583984","28878809","20170904","Are online prediction tools a valid alternative to genomic profiling in the"
"PMC5581176","28863181","20170901","BRCA1 protein expression and subcellular localization in primary breast cancer:"
"PMC5577624","28450564","","Diagnostic PET Imaging of Mammary Microcalcifications Using 64Cu-DOTA-Alendronate"
"PMC5574574","28850621","20170829","MammaPrint versus EndoPredict: Poor correlation in disease recurrence risk"
"PMC5804827","28848126","20170824","The Impact of Treatment Preferences in Second-Line Chemotherapy on the Prognosis "
"PMC5668502","28834648","20170823","Long non‐coding RNA CRALA is associated with poor response to chemotherapy in"
"PMC5568295","28832678","20170823","Recurrent triple-negative breast cancer (TNBC) tissues contain a higher amount of"
"PMC5571723","28816986","20170818","Efficacy and safety of endocrine monotherapy as first-line treatment for"
"PMC5555566","28806416","20170814","The impact of malignant nipple discharge cytology (NDc) in surgical management of"
"PMC5555564","28806399","20170814","Lymph node status have a prognostic impact in breast cancer patients with distant"
"PMC5552326","28797035","20170810","Protein expression patterns of cell cycle regulators in operable breast cancer."
"PMC5711988","28779344","20170804","Correlation between E-cadherin and p120 expression in invasive ductal breast"
"PMC5626137","28767583","20170804","Percentage change of primary tumor on 18F-FDG PET/CT as a prognostic factor for"
"PMC5543046","28775303","20170804","Molecular characterization of breast cancer CTCs associated with brain"
"PMC5542560","28771563","20170803","The effect of immunohistochemically detected p53 accumulation in prognosis of"
"PMC5542509","28771532","20170803","The molecular mechanism of the anticancer effect of Artonin E in MDA-MB 231"
"PMC5542472","28771473","20170803","Novel application of the published kinase inhibitor set to identify therapeutic"
"PMC5542386","28771517","20170803","CKAP2 (cytoskeleton-associated protein2) is a new prognostic marker in"
"PMC5546771","28814867","20170802","Exploring cellular uptake of iron oxide nanoparticles associated with rhodium"
"PMC5591063","28763097","20170801","Obesity and adverse breast cancer risk and outcome: Mechanistic insights and"
"PMC5577647","28857520","","A combination of levobupivacaine and lidocaine for paravertebral block in breast "
"PMC5701091","28759043","20170731","Genome-wide screen for differentially methylated long noncoding RNAs identifies"
"PMC5875834","28755403","20170729","Monitoring deep inspiration breath hold for left‐sided localized breast cancer"
"PMC5532788","28750616","20170727","Profiles of lipids, blood pressure and weight changes among premenopausal Chinese"
"PMC5588851","28741868","20170725","Retrospective analysis of the efficacy and safety of eribulin therapy for"
"PMC5521764","28732040","20170721","Perceptions of Arab men regarding female breast cancer screening"
"PMC5519037","28727815","20170720","Polymorphisms associated with everolimus pharmacokinetics, toxicity and survival "
"PMC5601253","28718896","20170718","Nomograms for preoperative prediction of axillary nodal status in breast cancer."
"PMC5520219","28746466","20170717","MicroRNA-143 inhibits cell growth by targeting ERK5 and MAP3K7 in breast cancer."
"PMC5515759","28700487","20170714","Prognostic role of methylated GSTP1, p16, ESR1 and PITX2 in patients with breast "
"PMC5513139","28709436","20170714","Satisfaction, discomfort, obligations, and concerns in population-based breast"
"PMC5509251","28704559","20170713","Synthesis, cytotoxicity and antitumour mechanism investigations of"
"PMC5618234","28696357","20170711","MYC-Driven Pathways in Breast Cancer Subtypes."
"PMC5506605","28697743","20170711","Integrative analysis of copy number and gene expression in breast cancer using"
"PMC5496395","28676102","20170704","Effects of an interactive mHealth innovation for early detection of"
"PMC5566918","28652435","20170703","Breast Cancer Prognosis for Young Patients."
"PMC5543503","28574667","20170703","High density of CD204‐positive macrophages predicts worse clinical prognosis in"
"PMC5496155","28678918","20170703","Cantharidin suppressed breast cancer MDA-MB-231 cell growth and migration by"
"PMC5511666","28752096","20170702","Breast Density and Breast Cancer Incidence in the Lebanese Population: Results"
"PMC5525160","28793003","201707","Complete axillary dissection without drainage for the surgical treatment of"
"PMC5495034","28679691","","Metastatic triple-negative breast cancer patient with TP53 tumor mutation"
"PMC5494134","28668073","20170701","Clinically node negative breast cancer patients undergoing breast conserving"
"PMC5489700","28600210","","Accelerated versus standard epirubicin followed by cyclophosphamide,"
"PMC5489696","28522311","","Effect of second timed appointments for non-attenders of breast cancer screening "
"PMC5500073","28658151","20170630","Establishment of a risk scoring system for predicting locoregional recurrence in "
"PMC5500019","28658097","20170630","A thermal dysregulation problem after breast cancer surgery; what could be?"
"PMC5493434","28666009","20170630","Delivery of gene targeting siRNAs to breast cancer cells using a multifunctional "
"PMC5493304","28665963","20170630","Morphology-based optical separation of subpopulations from a heterogeneous murine"
"PMC5549455","28661758","20170629","Participant-Reported Symptoms and Their Effect on Long-Term Adherence in the"
"PMC5504929","28740541","20170627","A Selective Ensemble Classification Method Combining Mammography Images with"
"PMC5498121","28652562","20170627","Correlation Factors Analysis of Breast Cancer Tumor Volume Doubling Time Measured"
"PMC5484475","28650989","20170626","Tumor tissue protein signatures reflect histological grade of breast cancer."
"PMC5770232","28720217","20170623","Body Mass Index Mediates the Prognostic Significance of Circulating Tumor Cells"
"PMC5493060","28643770","20170623","Role of Circulating Tumor Cell (CTC) Monitoring in Evaluating Prognosis of"
"PMC5484203","28640095","20170623","Aldehyde dehydrogenase 1 expression is correlated with poor prognosis in breast"
"PMC5480128","28637432","20170621","Current guidelines for BRCA testing of breast cancer patients are insufficient to"
"PMC5486139","28632174","20170620","Fluorescence Analysis of Vitamin D Receptor Status of Circulating Tumor Cells"
"PMC5478114","28632792","20170620","Identification of cell proliferation, immune response and cell migration as"
"PMC5504315","28627138","20170619","Predictors of BRCA1/2 genetic testing among Black women with breast cancer: a"
"PMC5477310","28629464","20170619","miR-629-3p may serve as a novel biomarker and potential therapeutic target for"
"PMC5477261","28629479","20170619","Evaluation of invasive breast cancer samples using a 12-chemokine gene expression"
"PMC5477117","28629450","20170619","Interaction with adipocyte stromal cells induces breast cancer malignancy via"
"PMC5474051","28622765","20170617","Unusual primary breast cancer – malignant peripheral nerve sheath tumor: a case"
"PMC5469456","28609459","20170613","HET0016 decreases lung metastasis from breast cancer in immune-competent mouse"
"PMC5860633","28633324","20170612","Mammographic Density Reduction as a Prognostic Marker for Postmenopausal Breast"
"PMC5467823","28604807","20170612","Brain-derived neurotrophic factor (BDNF) -TrKB signaling modulates"
"PMC5482928","28600279","20170609","Frequencies of Private Mentions and Sharing of Mammography and Breast Cancer"
"PMC5466317","28598978","20170609","An evaluation tool for myofascial adhesions in patients after breast cancer"
"PMC5465536","28595647","20170608","Pubertal development in girls by breast cancer family history: the LEGACY girls"
"PMC5464546","28594844","20170608","Prediction of adjuvant chemotherapy response in triple negative breast cancer"
"PMC5486041","28590426","20170607","Down’s Syndrome and Triple Negative Breast Cancer: A Rare Occurrence of"
"PMC5497932","28474758","20170606","ATP‐P2Y2‐β‐catenin axis promotes cell invasion in breast cancer cells."
"PMC5460789","28586395","20170606","The HER2 phenotype of circulating tumor cells in HER2-positive early breast"
"PMC5629104","28581515","20170605","GATA3 Targets Semaphorin 3B in Mammary Epithelial Cells to Suppress Breast Cancer"
"PMC5460489","28583174","20170605","Follistatin is a metastasis suppressor in a mouse model of HER2-positive breast"
"PMC5511313","28578505","20170603","Family history and risk of breast cancer: an analysis accounting for family"
"PMC5546512","28621677","20170602","Genome-wide methylome and chromatin interactome identify abnormal enhancer to be "
"PMC5486005","28574440","20170602","Micro-RNAs as Potential Predictors of Response to Breast Cancer Systemic Therapy:"
"PMC5459744","28562579","20170602","MicroRNAs in the prognosis of triple-negative breast cancer: A systematic review "
"PMC5459728","28562563","20170602","Surgery of the primary tumor improves survival in women with stage IV breast"
"PMC5457740","28578656","20170602","Treatment patterns and real world clinical outcomes in ER+/HER2- post-menopausal "
"PMC5457652","28576130","20170602","The Gαh-PLCδ1 signaling axis drives metastatic progression in triple-negative"
"PMC5676402","28591356","20170601","Early detection of breast cancer in Brazil: data from the National Health Survey,"
"PMC5482318","28549339","","Typical and atypical presenting symptoms of breast cancer and their associations "
"PMC5466376","28570501","20170601","Estrogen Receptor Mediates the Radiosensitivity of Triple-Negative Breast Cancer "
"PMC5446260","28411447","","Making progress in early breast cancer: Taking time or accepting risk?"
"PMC5452603","28569197","20170531","An objective nodal staging system for breast cancer patients undergoing"
"PMC5452424","28569149","20170531","Psychometric properties of the mammography self-efficacy and fear of breast"
"PMC5453632","28554249","20170530","Suppression of asparaginyl endopeptidase attenuates breast cancer-induced bone"
"PMC5450347","28558811","20170530","Focal necrosis mimicking breast cancer following coronary bypass grafting."
"PMC5448772","28558007","20170530","The clinical significance of accompanying NME on preoperative MR imaging in"
"PMC5511668","28752092","20170528","Automated Image Analysis of HER2 Fluorescence In Situ Hybridization to Refine"
"PMC5626796","28551814","20170527","Macrophage-derived interleukin-1beta promotes human breast cancer cell migration "
"PMC5446717","28549483","20170526","Whole breast and regional nodal irradiation in prone versus supine position in"
"PMC5445462","28545563","20170525","Additional value of 18F-FDG PET/CT response evaluation in axillary nodes during"
"PMC5445352","28545469","20170525","Age-related terminal duct lobular unit involution in benign tissues from Chinese "
"PMC5444832","28542577","20170525","Leptin signals via TGFB1 to promote metastatic potential and stemness in breast"
"PMC5444628","28542378","20170525","Familial breast cancer: Genetic counseling over time, including patients´"
"PMC5504310","28544536","20170524","The prediction models for postoperative overall survival and disease‐free"
"PMC5441089","28532474","20170522","Detection of IKKε by immunohistochemistry in primary breast cancer: association"
"PMC5441075","28532429","20170522","Power of PgR expression as a prognostic factor for ER-positive/HER2-negative"
"PMC5440994","28532508","20170522","Is it possible for knowledge-based planning to improve intensity modulated"
"PMC5440946","28532503","20170522","An updated PREDICT breast cancer prognostication and treatment benefit prediction"
"PMC5439668","28531188","20170522","Monitoring tumor response to neoadjuvant chemotherapy using MRI and 18F-FDG"
"PMC5455010","28531102","20170520","Nanoparticles as Theranostic Vehicles in Experimental and Clinical"
"PMC5447638","28670157","20170519","Analysis of Participant Factors That Affect the Diagnostic Performance of"
"PMC5447098","28540980","20170518","Low Expression of Circulating MicroRNA-34c is Associated with Poor Prognosis in"
"PMC5436838","28542297","20170518","Rim sign and histogram analysis of apparent diffusion coefficient values on"
"PMC5522149","28574847","20170517","Body mass index and persistent pain after breast cancer surgery: findings from"
"PMC5436442","28514957","20170517","High lymphatic vessel density and presence of lymphovascular invasion both"
"PMC5436425","28514945","20170517","TUmor-volume to breast-volume RAtio for improving COSmetic results in breast"
"PMC5518859","28510570","20170516","BAG-1 as a biomarker in early breast cancer prognosis: a systematic review with"
"PMC5428978","28498874","20170512","Soluble bone-derived osteopontin promotes migration and stem-like behavior of"
"PMC5428614","28489780","20170512","Prognostic and clinicopathological significance of cyclin B expression in"
"PMC5427595","28494797","20170512","AHNAK suppresses tumour proliferation and invasion by targeting multiple pathways"
"PMC5426757","28493933","20170511","Direct estrogen receptor (ER) / HER family crosstalk mediating sensitivity to"
"PMC5426065","28490348","20170511","An international reproducibility study validating quantitative determination of"
"PMC5549450","28489508","20170510","Tai Chi Chih Compared With Cognitive Behavioral Therapy for the Treatment of"
"PMC5495871","28493046","20170510","Trastuzumab uptake and its relation to efficacy in an animal model of"
"PMC5488203","28470685","20170510","Benefit‐to‐harm ratio of the Danish breast cancer screening programme."
"PMC5438824","28493031","20170510","FOXC1 overexpression is a marker of poor response to anthracycline-based adjuvant"
"PMC5425200","28489884","20170510","Comparison of the prognostic values of preoperative inflammation-based parameters"
"PMC5487701","28478613","20170506","Ki67 expression in invasive breast cancer: the use of tissue microarrays compared"
"PMC5420110","28476174","20170506","A patient with a history of breast cancer and multiple bone lesions: a case"
"PMC5451935","28475134","20170505","Modeling Geospatial Patterns of Late-Stage Diagnosis of Breast Cancer in the US."
"PMC5448660","28256066","20170505","Randomized phase II study of nab‐paclitaxel as first‐line chemotherapy in"
"PMC5420149","28476109","20170505","Interval breast cancer characteristics before, during and after the transition"
"PMC5419604","28475599","20170505","SUSD2 promotes tumor-associated macrophage recruitment by increasing levels of"
"PMC5419505","28475579","20170505","Prognostic significance of marital status in breast cancer survival: A"
"PMC5415471","28470916","20170503","Advanced breast cancer in a relatively young man with severe obesity and type 2"
"PMC5463083","28464481","20170502","Correlation of mammographic density and serum calcium levels in patients with"
"PMC5422330","28496321","20170502","Development of 99mTc-radiolabeled nanosilica for targeted detection of"
"PMC5414335","28464832","20170502","The E2F4 prognostic signature predicts pathological response to neoadjuvant"
"PMC5414192","28464908","20170502","A phase-I study of lapatinib in combination with foretinib, a c-MET, AXL and"
"PMC5413028","28463969","20170502","HER2-positive breast cancer cells expressing elevated FAM83A are sensitive to"
"PMC5548500","28538023","20170501","Magnetic Resonance Imaging–Based Assessment of Breast Cancer–Related Lymphoedema "
"PMC5412048","28460632","20170501","Her2 assessment using quantitative reverse transcriptase polymerase chain"
"PMC5413260","28445295","20170428","Metastatic breast cancer to the rectum: A case report with emphasis on MRI"
"PMC5487723","28451966","20170427","Phenotypic characterisation of breast cancer: the role of CDC42 ."
"PMC5487706","28451965","20170427","A breast cancer gene signature for indolent disease."
"PMC5425834","28536704","20170427","Calpain-1 Expression in Triple-Negative Breast Cancer: A Potential Prognostic"
"PMC5407802","28448541","20170427","Complementary and alternative medicine (CAM) use and delays in presentation and"
"PMC5407797","28448505","20170427","Polyphenolic extract of InsP 5-ptase expressing tomato plants reduce the"
"PMC5487724","28447240","20170426","Relationship between IHC4 score and response to neo-adjuvant chemotherapy in"
"PMC5546527","28496004","20170425","The lymph node ratio as an independent prognostic factor for node-positive"
"PMC5404666","28438180","20170424","Recent advances of highly selective CDK4/6 inhibitors in breast cancer."
"PMC5409652","28441745","20170423","Breast Cancer Screening Programmes across the WHO European Region: Differences"
"PMC5546465","28484086","20170421","Identification of circular RNAs as a promising new class of diagnostic biomarkers"
"PMC5406095","28422879","20170421","The clinicopathological features of second primary cancer in patients with prior "
"PMC5399380","28427436","20170421","A 3D in vitro model of the human breast duct: a method to unravel"
"PMC5399435","28427429","20170420","Vitamin D receptor, Retinoid X receptor and peroxisome proliferator-activated"
"PMC5399390","28427373","20170420","A protocol for a cluster-randomized controlled trial of a self-help"
"PMC5397021","28422972","20170419","Challenges in enumeration of CTCs in breast cancer using techniques independent"
"PMC5396869","28423035","20170419","Genetic profiling of putative breast cancer stem cells from malignant pleural"
"PMC5482727","28419078","20170418","Targeting of CCBE1 by miR-330-3p in human breast cancer promotes metastasis."
"PMC5430085","28421677","20170418","Mindfulness and its efficacy for psychological and biological responses in women "
"PMC5404822","28416776","20170418","Clinical Value of miR-101-3p and Biological Analysis of its Prospective Targets"
"PMC5395831","28420351","20170418","Prognostic significance of TRAIL-R3 and CCR-2 expression in tumor epithelial"
"PMC5395214","28419141","20170418","Ghrelin is a prognostic marker and a potential therapeutic target in breast"
"PMC5395149","28419166","20170418","Comparison of standardized uptake value of 18F-FDG-PET-CT with 21-gene recurrence"
"PMC5562849","28414308","20170417","Complex regulation of LCoR signaling in breast cancer cells."
"PMC5393014","28415963","20170417","Impact of the MDM2 splice-variants MDM2-A, MDM2-B and MDM2-C on cytotoxic stress "
"PMC5392962","28415974","20170417","Evaluation of the association between quantitative mammographic density and"
"PMC5392914","28412942","20170417","Breast cancer screening practices of African migrant women in Australia: a"
"PMC5426239","28480663","20170414","Correlations between Tumor to Background Ratio on Breast-Specific Gamma Imaging"
"PMC5403113","28403116","20170414","Influence of occupation and education level on breast cancer stage at diagnosis, "
"PMC5487710","28409241","20170413","MMP11 and CD2 as novel prognostic factors in hormone receptor-negative,"
"PMC5406736","28497041","20170413","Annexin A3 as a Prognostic Biomarker for Breast Cancer: A Retrospective Study."
"PMC5390385","28407750","20170413","Adjuvant treatment recommendations for patients with ER-positive/HER2-negative"
"PMC5503624","28467796","20170412","Dickkopf-related protein 2 induces G0/G1 arrest and apoptosis through suppressing"
"PMC5415454","28402606","20170412","Timing of paclitaxel treatment in pre‐operative or post‐operative does not affect"
"PMC5406535","28403546","20170412","Downregulation of delta‐aminolevulinate dehydratase is associated with poor"
"PMC5389184","28399921","20170412","S100β as a serum marker in endocrine resistant breast cancer."
"PMC5388386","28314842","20170412","Performance of Mid‐Treatment Breast Ultrasound and Axillary Ultrasound in"
"PMC5387383","28399911","20170411","The role of c-Myc-RBM38 loop in the growth suppression in breast cancer."
"PMC5387380","28399902","20170411","Efficacy and safety of everolimus in combination with trastuzumab and paclitaxel "
"PMC5387324","28399903","20170411","Overexpression of syndecan-1, MUC-1, and putative stem cell markers in breast"
"PMC5387372","28395671","20170410","Longitudinal assessment of right ventricular structure and function by"
"PMC5386271","28394898","20170410","Prognostic and clinicopathological value of GATA binding protein 3 in breast"
"PMC5436570","28529458","20170408","Targeting HSP90-HDAC6 Regulating Network Implicates Precision Treatment of Breast"
"PMC5471047","28445132","20170407","Targeting autophagic cancer stem-cells to reverse chemoresistance in human triple"
"PMC5414713","28392480","20170407","Network Analysis Reveals A Signaling Regulatory Loop in the PIK3CA-mutated Breast"
"PMC5383947","28388952","20170407","Breast cancer in Iraq is associated with a unimodally distributed predominance of"
"PMC5382391","28381271","20170406","Association between air pollution and mammographic breast density in the Breast"
"PMC5423520","28377466","20170404","Complete Metabolic Response on Interim 18F‐Fluorodeoxyglucose Positron Emission"
"PMC5411372","28378188","20170404","Apigenin suppresses the senescence-associated secretory phenotype and paracrine"
"PMC5381045","28376727","20170404","Glucose and lipoprotein biomarkers and breast cancer severity using data from the"
"PMC5379658","28376728","20170404","Comparison of triple-negative breast cancer molecular subtyping using RNA from"
"PMC5436506","28529630","20170403","Spectroscopic Photoacoustic Molecular Imaging of Breast Cancer using a"
"PMC5394406","28473865","20170403","Artificial Neural Networks in Image Processing for Early Detection of Breast"
"PMC5390625","28458608","20170403","RE: Is There a Correlation between the Presence of a Spiculated Mass on Mammogram"
"PMC5390616","28458599","20170403","Abbreviated MRI Protocols for Detecting Breast Cancer in Women with Dense"
"PMC5378374","28369094","20170403","Clinical application of a microfluidic chip for immunocapture and quantification "
"PMC5378269","28032400","20170403","Increasing circulating exosomes‐carrying TRPC5 predicts chemoresistance in"
"PMC5482913","28684896","","A Technique of Endoscopic Nipple-Sparing Mastectomy for Breast Cancer."
"PMC5401614","28492725","201704","Breast cancer screening in developing countries."
"PMC5386444","28364518","20170401","Interaction Between Ezrin and Cortactin in Promoting Epithelial to Mesenchymal"
"PMC5334437","28166159","","FDG PET/CT assesses the risk of femoral pathological fractures in patients with"
"PMC5026865","26984227","","Dietary patterns in Puerto Rican and Mexican-American breast cancer survivors: a "
"PMC5482656","28422735","20170331","Expression of embryonal stem cell transcription factors in breast cancer: Oct4 as"
"PMC5458267","28410191","20170331","Loss of PTEN expression in breast cancer: association with clinicopathological"
"PMC5422025","27931517","20170331","Glut1 promotes cell proliferation, migration and invasion by regulating epidermal"
"PMC5428904","28358430","20170330","Comparison of the PI3KCA pathway in circulating tumor cells and corresponding"
"PMC5831458","28355431","20170329","State Variation in the Receipt of a Contralateral Prophylactic Mastectomy Among"
"PMC5372339","28356166","20170329","Integrative clustering reveals a novel split in the luminal A subtype of breast"
"PMC5372302","28356061","20170329","Distribution of Ki-67 values within HER2 & ER/PgR expression variants of ductal"
"PMC5464903","28402270","20170328","AKR1B10 promotes breast cancer cell migration and invasion via activation of ERK "
"PMC5374138","28405154","20170328","Breast cancer metastasizing to the stomach mimicking primary gastric cancer: A"
"PMC5371265","28351392","20170328","Can we use gonadotropin plasma concentration as surrogate marker for BMI-related "
"PMC5689860","28349630","20170327","Optimization of intra‐voxel incoherent motion measurement in diffusion‐weighted"
"PMC5522166","28388549","20170325","Elevated heparanase expression is associated with poor prognosis in breast"
"PMC5553547","28222395","20170324","Technetium-99 m radiolabeled paclitaxel as an imaging probe for breast cancer in "
"PMC5403877","28341957","20170324","Phase Ib dose-finding trial of lapatinib plus pegylated liposomal doxorubicin in "
"PMC5366153","28340626","20170324","Decision making for breast cancer prevention among women at elevated risk."
"PMC5363985","28334049","20170323","MMP1 expression is activated by Slug and enhances multi-drug resistance (MDR) in "
"PMC5605069","28256905","","Effect of Bone Reading CT software on radiologist performance in detecting bone"
